,,,,,
,4F0121251Q,"Радиатор, охлаждение двигател",141.63 €,,50
,4F0121403N,"Компенсационный бак, охлаждающая жидкость",20.82 €,,15
,8E0121321,"Крышка, резервуар охлаждающей жидкости",9.92 €,,2
,4F0121207D,Рамка вентилятора,115.30 €,,60
,4F0121283G,Воздуховод,8.03 €,,10
,4F0121284G,Воздуховод,8.03 €,,10
,4F0133837N,Корпус воздушного фильтра,81.30 €,,70
,03G145702KX,Турбонагнетатель,923.11 €,,300
,028145736AH,Обратный маслопровод,71.95 €,,15
,N90837101,Горловина под резьбовую пробку,3.28 €,,3
,03G145771B,Трубка маслопровlouo;iho;,30.90 €,,10
,28145786,Горлов. под рез. проб. с прок.,15.90 €,,10
,4F0145805AD,Охладитель наддув. воздуха,184.79 €,,50
,4F0145813F,Кронштейн,24.17 €,,15
,4F0145709G,Напорный шланг,42.82 €,,20
,4F0145709L,Напорный шланг,42.82 €,,20
,4F0145731S,Труба напорной линии,218.52 €,,50
,038906051C,"Датчик, давление наддува",42.35 €,,5
,8E0129955B,Демпфер пульсаций,22.05 €,,10
,4F0145737D,Напорный шланг,93.40 €,,30
,4F0145333B,Воздуховод,13.31 €,,20
,4F0145155P,"Гидравлический насос, рулевое управление",333.51 €,,100
,06H145255E,Шкив клинового ремня,16.12 €,,10
,4F0199379BK,Гидроопора,136.77 €,,50
,4F0199382BK,Гидроопора,90.28 €,,40
,4F0199351AG,Консоль,56.53 €,,30
,4F0199352N,Консоль,56.68 €,,30
,4F0199307N,Опора,48.08 €,,25
,4F0199352N,Консоль,56.68 €,,30
,4B0199335L,Упор,22.15 €,,15
,4F0199343K,Опора,28.33 €,,15
,4F0201060BN,"Бак, топливный",930.58 €,,100
,4F0201167M,Трубка для удаления воздуха,45.99 €,,20
,8E0201550F,Крышка с лентой-держателем для топливного бака,22.59 €,,10
,8E0201550H,Крышка с лентой-держателем для топливного бака,22.59 €,,10
,4F0201308,Теплозащитный экран,30.32 €,,10
,4F0201220,Топливопровод,28.09 €,,25
,4F0201227,Топливопровод,28.09 €,,25
,4F0201544AA,1 комплект топливных трубок,420.82 €,,100
,4F0203572E,Теплоотвод,75.29 €,,35
,4F0130313B,Топливный шланг,27.23 €,,30
,4F0130314G,Топливный шланг,27.23 €,,30
,038906081B,Датчик температуры,12.15 €,,5
,4F0201541C,Топливный шланг,30.20 €,,20
,4F0201543D,Топливный шланг,23.51 €,,15
,8E0254201DX,Нейтрализатор,923.66 €,,
,4F0253301G,Промежуточная труба,132.75 €,,50
,4F0131552G,Управляющая магистраль с датчиком перепада давления,84.10 €,,40
,4F0131552AA,Управляющая магистраль с датчиком перепада давления,84.10 €,,70
,4F0131561J,Кронштейн,16.52 €,,10
,4F0253409K,Средний глушитель,210.48 €,,100
,4F0253609AC,Задний глушитель,351.42 €,,100
,4F0253610AC,Задний глушитель,331.23 €,,100
,1K0253141G,"Хомут, двойной",21.39 €,,15
,1K0253141F,"Хомут, двойной",20.74 €,,15
,4F0253681E,Накладка конц. трубы глушителя,78.72 €,,40
,4F0260805AE,Компрессор климатической уст.,787.85 €,,300
,4F0260810G,Шкив,174.31 €,,100
,03G903139D,Кронштейн генератора и ком- прессора кондиционера,218.24 €,,90
,4F0260403P,Конденсатор климат.установки,187.89 €,,65
,8A0820855AA,Клапан,12.59 €,,8
,4F0959126B,Датчик давления,,,15
,4F0260710E,Трубопровод хладагента,161.45 €,,80
,4F0260709A,Трубопровод хладагента,161.34 €,,80
,4F0260740B,Шланг хладагента,172.68 €,,50
,4F0260701C,Шланг хладагента,130.09 €,,80
,4F0260707AB,Шланг хладагента,170.66 €,,80
,4F0260197E,Кронштейн осушителя,30.40 €,,15
,8E0820177,Дроссель,,,15
,01X300044HX,6-ступ. механическая КП (МКПП) коробка передач,"3,646.58 €",,500
,4F0399313AD,Подрамник,"1,266.95 €",,100
,4F0399263K,Траверса,238.77 €,,80
,4F0399151AM,Сайлент-блок,71.72 €,,30
,4F0399403,Стойка,15.13 €,,20
,4F0407151A,"Рычаг независимой подвески колеса, подвеска колеса",214.73 €,,40
,4F0407253G,Поворотный кулак,314.61 €,,125
,4F0407254G,Поворотный кулак,314.61 €,,125
,4E0407505E,"Рычаг независимой подвески колеса, подвеска колеса",135.44 €,,30
,4E0407506E,"Рычаг независимой подвески колеса, подвеска колеса",135.44 €,,30
,4E0407509E,"Рычаг независимой подвески колеса, подвеска колеса",135.28 €,,25
,4E0407510E,"Рычаг независимой подвески колеса, подвеска колеса",135.28 €,,25
,4D0407613E,Ступица,133.18 €,,40
,4F0411309E,Стабилизатор,146.40 €,,35
,4E0411317E,"Тяга, соединительная",38.11 €,,20
,4E0411317F,"Тяга, соединительная",38.11 €,,3
,4D0411336G,Хомут,2.66 €,,1
